Rndrng_NPI,Rndrng_Prvdr_Last_Org_Name,Rndrng_Prvdr_First_Name,Rndrng_Prvdr_City,Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_Zip5,Rndrng_Prvdr_RUCA,Rndrng_Prvdr_Type,HCPCS_Cd,HCPCS_Desc,Place_Of_Srvc,Tot_Benes,Tot_Srvcs,Tot_Bene_Day_Srvcs,Avg_Sbmtd_Chrg,Avg_Mdcr_Alowd_Amt,Avg_Mdcr_Pymt_Amt,Avg_Mdcr_Stdzd_Amt
1033373329,Mathias,Jason,Chicago,IL,60611,1,Internal Medicine,G2012,"Brief communication technology-based service, e.g. virtual check-in, by a physician or other qualified health care professional who can report evaluation and management services, provided to an established patient, not originating from a related e/m servic",O,26,30.0,30,24.0,15.670666667,12.112333333,11.194
1033455365,Lyon,Virginia,Willimantic,CT,6226,4.1,Licensed Clinical Social Worker,Q3014,Telehealth originating site facility fee,O,26,122.0,122,27.808196721,25.705819672,18.978032787,18.978032787
1033522396,Siedler,Robert,Cleveland,OH,44106,1,Psychiatry,Q3014,Telehealth originating site facility fee,O,59,98.0,98,26.15,25.737755102,20.119591837,20.119591837
1033585286,Thompson,Deidra,Pearl,MS,39208,1,Nurse Practitioner,Q3014,Telehealth originating site facility fee,O,347,2244.0,2244,30.0,25.752945633,19.380824421,19.380828877
1043211758,Palmer,Clemmie,Montgomery,AL,36116,1,Psychiatry,Q3014,Telehealth originating site facility fee,O,71,116.0,116,25.4,25.146551724,12.308103448,12.308103448
1043269632,Dorris,Geraldine,Naples,FL,34110,1,Nurse Practitioner,Q3014,Telehealth originating site facility fee,O,39,88.0,88,25.0,24.652386364,17.035340909,17.035340909
1043275696,Strong,Jennifer,Menomonie,WI,54751,4,Family Practice,Q3014,Telehealth originating site facility fee,O,22,27.0,27,40.0,25.776666667,18.222222222,18.222222222
1043311293,Williams,Kenneth,Elk City,KS,67344,8,Psychiatry,Q3014,Telehealth originating site facility fee,O,70,80.0,80,50.0,25.500625,19.5515,19.800375
1043335946,Okeke,Emmanuel,Larned,KS,67550,7,Psychiatry,Q3014,Telehealth originating site facility fee,O,17,63.0,63,50.0,25.75,19.523809524,19.523809524
1043367204,Liguori,Michael,New York,NY,10011,1,Internal Medicine,G2012,"Brief communication technology-based service, e.g. virtual check-in, by a physician or other qualified health care professional who can report evaluation and management services, provided to an established patient, not originating from a related e/m servic",O,84,132.0,132,18.14,16.355681818,12.733863636,11.316818182
1043389273,Colombo,Paula,Traverse City,MI,49684,4,Psychiatry,Q3014,Telehealth originating site facility fee,O,32,66.0,66,55.0,25.756969697,19.186666667,19.186666667
1043406069,Samuels,Angella,Snellville,GA,30078,1,Nurse Practitioner,99457,"Remote monitoring of physiologic parameters management services, 20 minutes or more of qualified health care professional time per calendar month",O,16,34.0,34,47.454705882,40.892647059,32.619411765,34.338235294
1043432669,Harms,Monica,Lake Forest,CA,92630,1.1,General Practice,99457,"Remote monitoring of physiologic parameters management services, 20 minutes or more of qualified health care professional time per calendar month",O,23,114.0,114,81.0,56.39,44.97,40.4
1043500598,Vu,Khiem,Victoria,TX,77901,1,Internal Medicine,G2012,"Brief communication technology-based service, e.g. virtual check-in, by a physician or other qualified health care professional who can report evaluation and management services, provided to an established patient, not originating from a related e/m servic",O,12,12.0,12,20.0,14.164166667,10.349166667,10.636666667
1043511215,Jones,Olivia,Wentzville,MO,63385,1,Nurse Practitioner,Q3014,Telehealth originating site facility fee,O,13,49.0,49,51.306122449,25.730204082,20.488571429,20.488571429
1043532369,Sanchez Chavez,Jose,Coral Gables,FL,33134,1,General Practice,99091,"Collection and interpretation of physical parameters stored in computers and/or transmitted by the patient and/or caregiver to qualified health care professional, requiring 30 minutes or more, per 30 days",O,97,160.0,160,75.0,55.8821875,44.61725,45.5708125
1043564636,Morris,Traci,Beckley,WV,25801,1,Nurse Practitioner,Q3014,Telehealth originating site facility fee,O,15,22.0,22,26.4,25.73,20.5,20.5
1043631344,Grossman-Orr,Mareida,Greensboro,NC,27401,1,Licensed Clinical Social Worker,Q3014,Telehealth originating site facility fee,O,15,15.0,15,27.0,25.73,20.5,20.5
1043684897,Mwangi,Duncan,Dallas,TX,75211,1,Nurse Practitioner,Q3014,Telehealth originating site facility fee,O,81,159.0,159,26.007735849,25.572641509,16.54591195,16.54591195
1043703887,Jeppeson,Tenaea,Fort Dodge,IA,50501,4,Nurse Practitioner,Q3014,Telehealth originating site facility fee,O,47,115.0,115,30.234782609,25.767826087,18.656,18.656
1043744501,Bates,Katie,Wenatchee,WA,98801,1,Nurse Practitioner,Q3014,Telehealth originating site facility fee,O,61,61.0,61,53.0,25.837540984,15.25442623,15.25442623
1043753403,Jackson,Nicole,Columbus,OH,43215,1,Nurse Practitioner,Q3014,Telehealth originating site facility fee,O,106,285.0,285,30.0,25.766491228,18.717929825,18.717964912
1043767122,Barber,Mindy,Kennewick,WA,99336,1,Nurse Practitioner,Q3014,Telehealth originating site facility fee,O,29,39.0,39,50.0,25.73,20.5,20.5
1053303461,Vaughan,Mark,Auburn,CA,95602,3,General Practice,99453,"Remote monitoring of physiologic parameters, initial set-up and patient education on use of equipment",O,51,51.0,51,37.352941176,21.042352941,14.85,13.464705882
1053303461,Vaughan,Mark,Auburn,CA,95602,3,General Practice,99454,"Remote monitoring of physiologic parameters, initial supply of devices with daily recordings or programmed alerts transmission, each 30 days",O,45,269.0,269,76.431226766,69.77,55.8,50.29
1053303461,Vaughan,Mark,Auburn,CA,95602,3,General Practice,99457,"Remote monitoring of physiologic parameters management services, 20 minutes or more of qualified health care professional time per calendar month",O,45,259.0,259,60.077220077,54.01,43.19,40.4
1053353946,Root,Kenneth,Grand Rapids,MI,49546,1,Physician Assistant,Q3014,Telehealth originating site facility fee,O,14,15.0,15,43.0,25.798,17.170666667,17.170666667
1053373662,Ozborn,Charles,Eupora,MS,39744,10,Family Practice,Q3014,Telehealth originating site facility fee,O,13,18.0,18,36.333333333,25.73,20.5,20.5
1053376475,Gillette,Daniel,Sioux City,IA,51106,1,Psychiatry,Q3014,Telehealth originating site facility fee,O,22,27.0,27,50.0,25.73,20.5,20.5
1053392985,Roden,Raymond,Grand Rapids,MI,49525,1,Cardiology,Q3014,Telehealth originating site facility fee,O,17,17.0,17,43.0,25.73,20.5,20.5
1053399915,Mahal,Satnam,Osage Beach,MO,65065,7,Psychiatry,Q3014,Telehealth originating site facility fee,O,154,463.0,463,50.825053996,25.808596112,16.66775378,16.66775378
1053457127,Mehdian,Ramin,Newbury Park,CA,91320,1,Pulmonary Disease,99091,"Collection and interpretation of physical parameters stored in computers and/or transmitted by the patient and/or caregiver to qualified health care professional, requiring 30 minutes or more, per 30 days",O,59,79.0,79,100.0,60.47,48.2,45.78
1053486035,Maeshiro,Joan,Honolulu,HI,96813,1,Nurse Practitioner,G2012,"Brief communication technology-based service, e.g. virtual check-in, by a physician or other qualified health care professional who can report evaluation and management services, provided to an established patient, not originating from a related e/m servic",O,71,88.0,88,33.727272727,12.931704545,9.4767045455,9.0375
1053494831,Mchenry,David,Jackson,MS,39216,1,Neurology,Q3014,Telehealth originating site facility fee,O,56,66.0,66,18.0,17.527272727,11.948484848,12.175757576
1053569897,Shiralkar,Namita,New Orleans,LA,70112,1,Psychiatry,Q3014,Telehealth originating site facility fee,O,43,151.0,151,26.0,25.635695364,17.679139073,17.679139073
1053574376,Mclaughlin,Michael,Tulsa,OK,74136,1,Sleep Medicine,99091,"Collection and interpretation of physical parameters stored in computers and/or transmitted by the patient and/or caregiver to qualified health care professional, requiring 30 minutes or more, per 30 days",O,231,382.0,382,120.0,56.323481675,42.687539267,43.499450262
1053609586,Bassi,Roopsi,Hattiesburg,MS,39402,1,Psychiatry,Q3014,Telehealth originating site facility fee,O,50,190.0,190,32.0,25.058105263,17.929105263,18.653842105
1053612697,Hackney,Kendra,Thief River Falls,MN,56701,7,Nurse Practitioner,Q3014,Telehealth originating site facility fee,O,19,25.0,25,35.0,25.7468,19.68,19.68
1053630806,Haynes,Joanne,Jackson,MS,39216,1,Nurse Practitioner,Q3014,Telehealth originating site facility fee,O,24,48.0,48,15.0,14.795,10.045,10.045
1053654541,Nichols,Chloe,Frederick,MD,21702,1.1,Nurse Practitioner,Q3014,Telehealth originating site facility fee,O,20,49.0,49,50.0,25.73,20.5,20.5
1053835637,Huckett,Lindsey,Santa Ana,CA,92705,1,Nurse Practitioner,Q3014,Telehealth originating site facility fee,O,18,22.0,22,50.0,25.749090909,19.568181818,19.568181818
1063408870,Mcgee,Paul,Newton,IA,50208,4,Physician Assistant,Q3014,Telehealth originating site facility fee,O,153,565.0,565,30.451327434,25.766920354,17.73619469,17.73619469
1063424307,Allen,James,Columbus,OH,43221,1,Pulmonary Disease,G2012,"Brief communication technology-based service, e.g. virtual check-in, by a physician or other qualified health care professional who can report evaluation and management services, provided to an established patient, not originating from a related e/m servic",O,29,33.0,33,50.0,14.27,11.4,11.59
1063440105,Susano,Michael,Shreveport,LA,71107,1,Psychiatry,Q3014,Telehealth originating site facility fee,O,28,86.0,86,60.0,24.836046512,18.389767442,19.326976744
